DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
7/5/2021 12:00:00 AM +00:00,7/5/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Adobe Acrobat Reader,Adobe Systems Incorporated
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
7/4/2021 12:00:00 AM +00:00,7/4/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
7/3/2021 12:00:00 AM +00:00,7/3/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Microsoft Photos,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,DWM.EXE,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,APPLICATIONFRAMEHOST.EXE,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
7/2/2021 12:00:00 AM +00:00,7/2/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,CSRSS.EXE,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,PyCharm Python IDE,jetbrains s.r.o.
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Windows Calculator,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Microsoft Paint,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
7/1/2021 12:00:00 AM +00:00,7/1/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,OPENWITH.EXE,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Notepad,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,nvidia share,Nvidia Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/30/2021 12:00:00 AM +00:00,6/30/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
